N,P,K,pH,Moisture,Fertility
16.4,34.51,45.21,5.53,28.63,Medium
58.29,0.0,0.0,4.28,20.19,Low
58.05,55.75,27.5,5.6,75.65,Medium
4.69,21.12,43.41,5.12,64.64,Medium
62.87,64.86,22.38,5.32,60.34,Medium
96.43,18.48,0.0,5.12,49.91,Medium
52.28,25.66,57.88,5.94,42.34,Medium
84.61,42.28,49.62,5.81,84.33,High
30.27,34.81,5.54,7.48,76.4,Medium
39.82,38.34,72.98,7.5,24.3,Medium
26.88,28.4,19.29,7.14,40.39,Medium
55.82,58.35,29.19,7.29,60.35,High
107.36,22.33,0.0,7.2,50.58,Medium
56.75,44.93,25.01,7.36,35.28,Medium
122.83,56.88,1.16,9.0,55.79,Medium
5.8,45.3,41.27,5.44,24.16,Medium
35.2,12.47,34.49,7.03,82.81,Medium
57.25,22.19,31.58,7.0,16.94,Medium
15.57,49.98,0.0,5.19,52.63,Medium
55.53,26.56,38.15,7.21,66.05,Medium
34.26,0.0,40.88,8.74,47.3,Medium
100.24,57.66,29.75,5.19,57.23,Medium
63.15,42.05,6.22,5.43,22.88,Medium
57.89,26.95,45.75,6.48,48.72,High
36.02,26.64,25.27,7.91,20.9,Medium
21.76,42.15,1.81,7.1,33.85,Medium
86.56,36.15,35.1,8.51,42.79,Medium
114.06,45.06,50.31,7.25,40.08,High
105.24,66.71,46.41,7.18,25.3,High
122.41,23.52,28.17,5.16,5.0,Medium
44.91,17.02,0.0,6.45,63.05,Medium
69.42,54.79,39.84,6.98,61.99,High
53.46,20.67,42.47,8.73,67.2,Medium
93.31,5.86,6.64,6.46,18.61,Medium
8.64,31.94,31.19,6.82,65.37,Medium
113.51,36.91,62.98,7.07,78.42,High
93.31,35.76,33.97,7.18,69.03,High
41.34,18.32,44.84,6.58,47.39,High
118.38,60.8,37.28,6.06,90.89,High
0.0,25.31,58.06,6.69,36.38,Medium
75.89,17.8,31.79,5.71,47.09,Medium
62.9,12.68,55.39,3.5,31.35,Medium
97.97,36.97,36.92,8.19,59.52,Medium
37.96,32.32,0.0,6.37,7.71,Medium
30.86,56.62,28.26,8.21,56.87,Medium
54.52,28.7,9.05,7.92,61.19,Medium
7.31,40.46,19.29,8.14,58.38,Medium
0.0,21.08,43.01,6.69,18.6,Medium
110.88,45.09,27.62,5.53,20.95,Medium
63.44,0.0,44.96,8.08,69.84,Medium
106.36,32.81,55.68,5.93,69.61,High
51.1,16.8,28.11,7.4,47.45,Medium
103.28,63.78,12.51,6.57,23.6,Medium
39.27,21.44,27.73,8.2,16.8,Low
25.06,62.14,7.89,7.36,80.54,Medium
43.39,33.5,80.16,6.24,61.5,High
71.11,39.1,14.96,6.1,31.13,Medium
40.64,0.0,36.42,7.87,20.12,Medium
78.74,37.14,1.99,6.49,66.48,Medium
56.27,30.97,28.05,6.43,81.58,Medium
0.0,5.09,49.7,5.55,82.49,Medium
83.26,28.71,49.82,8.06,21.42,Medium
55.8,34.25,61.01,4.56,95.0,Medium
50.59,9.96,16.4,5.41,74.3,Low
54.62,15.24,43.27,6.3,42.85,High
76.06,35.05,0.0,7.79,60.97,Medium
75.65,31.94,32.38,5.86,54.65,Medium
103.45,10.62,12.06,7.1,54.34,Medium
0.0,3.94,10.49,7.12,43.07,Medium
63.06,33.7,48.86,5.17,43.4,Medium
56.79,34.37,0.0,7.2,45.36,Medium
18.25,48.13,37.85,5.82,76.96,Medium
51.73,0.06,6.58,6.16,38.02,Medium
101.15,47.66,22.77,5.37,25.78,Medium
96.55,38.98,28.31,5.55,15.05,Medium
109.64,12.48,20.65,6.95,44.89,Medium
51.26,42.62,48.09,5.14,56.2,Medium
121.55,21.92,19.5,8.5,58.93,Medium
48.6,0.0,22.72,6.95,46.09,Medium
20.11,41.87,18.02,5.42,12.16,Medium
20.37,22.01,19.7,6.65,9.35,Medium
85.86,38.13,40.1,6.51,30.75,High
49.14,38.85,13.05,6.89,19.67,Medium
59.45,0.0,0.0,7.66,43.31,Medium
83.45,38.88,52.25,7.71,39.86,Medium
60.2,0.0,0.0,6.97,35.14,Medium
78.33,27.2,17.26,6.63,47.03,Medium
107.66,9.34,36.39,5.66,33.58,Medium
89.97,31.95,45.41,7.04,41.39,High
51.83,0.0,33.26,7.84,36.87,Medium
19.79,35.68,13.36,7.29,58.71,Medium
70.36,7.95,37.9,7.14,76.17,Medium
45.46,14.33,40.47,7.11,30.77,Medium
34.37,0.0,70.89,7.28,63.41,Medium
42.47,31.76,0.03,6.25,26.8,Medium
111.19,0.0,44.53,5.9,48.95,Medium
75.57,0.0,26.3,7.06,89.21,Medium
74.58,31.56,4.43,6.11,45.23,Medium
52.59,71.46,23.17,6.62,62.89,High
79.03,17.17,36.88,6.16,54.66,Medium
56.35,21.23,28.03,6.98,28.92,Medium
21.9,44.69,8.9,5.83,24.47,Medium
120.94,14.02,46.01,7.27,65.06,High
72.96,10.99,14.74,5.94,25.66,Low
2.62,22.74,16.85,5.02,72.38,Low
41.69,68.04,48.78,7.53,25.49,Medium
31.1,14.74,27.18,6.29,21.1,Medium
36.67,32.7,67.32,5.13,54.63,Medium
38.07,4.65,0.0,6.47,95.0,Low
20.93,38.3,19.6,7.02,61.68,Medium
46.51,60.89,57.21,7.08,92.86,High
16.03,7.58,4.8,7.16,72.31,Low
83.67,36.71,0.0,5.83,63.19,Medium
34.02,36.29,52.76,7.71,48.61,Medium
42.05,42.58,10.04,5.42,25.65,Medium
90.17,0.0,23.53,7.61,29.32,Medium
50.98,23.42,43.64,7.15,45.18,High
66.35,33.76,0.0,5.99,18.98,Medium
112.96,22.17,1.63,5.31,55.16,Medium
27.9,55.96,4.12,6.03,87.83,Medium
70.65,10.86,54.72,8.12,22.9,Medium
46.58,42.69,22.83,4.86,65.49,Medium
33.36,9.93,0.0,6.7,64.82,Medium
28.18,54.5,29.43,8.13,40.97,Medium
41.12,36.92,25.39,6.52,74.61,Medium
125.99,0.0,0.0,6.08,54.51,Medium
50.99,45.45,0.14,8.55,43.51,Medium
75.85,4.9,28.05,6.38,22.02,Medium
97.1,25.65,10.83,7.13,61.48,Medium
96.77,26.75,51.31,7.03,33.7,High
25.31,2.12,7.97,6.27,5.0,Low
107.48,52.07,67.7,6.63,36.81,High
58.57,54.91,28.34,4.96,63.25,Medium
28.19,26.45,36.16,8.29,67.43,Medium
30.37,21.43,23.58,5.9,29.68,Medium
64.88,23.19,40.24,6.55,44.34,High
39.57,57.26,31.29,6.72,67.37,Medium
59.67,37.54,27.92,6.32,42.0,Medium
77.64,43.08,27.4,5.86,45.95,Medium
5.52,22.75,52.01,7.69,54.14,Medium
28.57,34.97,34.3,7.09,51.13,Medium
70.59,26.89,17.11,6.4,66.53,Medium
46.75,37.22,11.19,7.89,49.39,Medium
56.81,21.43,17.83,7.61,65.96,Medium
107.01,62.81,57.51,5.47,80.69,Medium
124.98,38.72,17.19,4.38,69.42,Medium
0.0,59.77,35.75,5.55,67.91,Medium
4.9,31.83,28.87,7.75,57.36,Medium
85.53,11.36,21.05,7.04,51.0,Medium
13.65,35.01,22.23,7.21,53.67,Medium
45.02,33.63,0.0,7.15,68.56,Medium
101.98,50.54,33.87,6.08,69.89,High
74.66,49.18,34.07,5.72,50.87,Medium
54.85,17.54,33.15,6.42,16.57,Medium
71.73,0.69,70.8,6.17,41.94,Medium
71.2,4.67,28.29,6.25,52.05,Medium
94.76,0.0,23.03,6.75,60.1,Medium
69.76,13.53,0.0,6.33,57.88,Medium
28.67,42.45,47.5,4.84,92.44,Medium
74.16,49.14,50.57,7.43,48.4,High
53.14,26.32,39.63,4.87,63.25,Medium
55.58,28.29,45.28,6.44,47.51,High
48.14,3.5,25.05,6.69,61.65,Medium
54.58,7.18,75.3,5.85,83.87,Medium
109.9,36.95,21.74,5.81,6.57,Medium
22.18,9.96,45.15,7.78,32.86,Medium
74.38,49.11,48.63,5.41,53.48,Medium
43.44,3.88,0.0,5.82,63.78,Medium
53.46,8.35,57.95,6.38,28.97,Medium
100.78,23.9,7.59,5.81,27.18,Medium
0.0,43.34,9.62,5.5,49.82,Medium
81.82,15.37,42.08,7.38,46.18,High
70.51,0.0,2.55,6.65,40.83,Medium
111.9,32.42,36.55,6.49,30.34,Medium
71.8,37.36,52.48,7.65,87.71,Medium
87.95,24.38,65.58,7.28,30.08,High
36.7,15.9,53.42,5.46,53.38,Medium
71.98,36.53,54.05,6.6,52.93,High
49.01,5.59,19.04,6.19,84.57,Medium
47.49,0.0,51.39,7.42,37.51,Medium
12.46,47.96,18.33,6.33,60.14,Medium
51.81,18.34,32.37,5.4,50.06,Medium
49.3,8.89,33.36,5.54,72.74,Medium
66.63,34.54,29.53,6.36,25.62,Medium
52.26,21.58,1.2,7.15,30.19,Medium
41.84,19.58,38.53,7.98,47.44,Medium
47.21,5.27,47.32,6.14,68.88,Medium
15.49,61.95,22.22,5.83,43.93,Medium
49.92,46.76,54.28,5.43,84.94,Medium
67.86,22.24,22.47,6.41,32.26,Medium
22.45,23.16,50.73,5.73,95.0,Medium
91.15,40.15,41.07,5.21,62.02,High
56.98,53.06,69.26,5.51,31.01,Medium
0.0,0.15,0.0,6.38,43.93,Medium
84.07,40.51,11.46,5.89,86.67,Medium
42.08,81.89,14.57,7.75,83.11,Medium
21.76,53.24,75.3,8.29,55.66,Medium
21.37,37.82,34.56,5.54,23.44,Medium
56.98,29.92,22.8,6.79,40.21,Medium
122.42,61.36,42.71,6.02,41.28,High
49.78,60.01,26.59,6.43,48.35,High
65.82,0.0,50.08,6.42,23.48,Medium
94.73,3.37,3.91,5.03,75.09,Low
66.09,31.09,16.89,5.66,92.18,Medium
50.79,53.83,15.88,7.17,41.41,High
63.72,26.39,29.08,7.61,55.95,Medium
50.33,39.24,30.13,6.33,38.52,Medium
123.85,29.62,17.36,6.07,19.01,Medium
33.71,44.25,61.51,6.66,44.79,High
105.91,55.19,56.59,5.74,68.25,High
57.98,53.48,1.47,7.44,56.55,Medium
81.22,26.55,12.21,6.23,35.03,Medium
57.25,7.05,56.83,6.62,59.99,Medium
45.33,49.89,30.79,7.01,48.5,High
19.38,1.47,29.33,5.91,67.54,Medium
60.25,37.05,40.65,7.16,20.19,Medium
73.48,51.09,42.31,5.74,30.08,Medium
30.75,43.26,29.07,7.08,45.66,Medium
61.92,11.24,51.91,6.74,26.94,Medium
66.34,81.44,10.92,7.94,47.79,Medium
87.09,33.75,29.93,4.84,65.84,Medium
51.7,34.02,19.17,4.45,67.22,Medium
59.6,62.23,0.0,6.31,40.6,Medium
59.01,0.0,19.04,7.72,62.61,Medium
31.9,44.99,61.19,6.34,39.56,Medium
47.31,44.29,57.19,6.66,23.14,High
87.92,20.21,12.68,5.31,48.49,Medium
54.04,52.17,56.73,5.44,37.77,Medium
34.87,72.74,62.27,4.59,42.67,Medium
57.93,51.22,18.49,5.18,5.0,Medium
19.05,54.2,23.82,6.41,53.77,Medium
9.72,63.76,34.91,6.47,64.05,Medium
63.59,63.93,56.84,8.46,52.48,Medium
13.04,38.85,30.4,5.98,18.43,Medium
54.76,27.1,32.56,7.44,29.68,Medium
80.72,0.0,8.96,7.1,23.99,Medium
57.95,32.59,27.73,6.66,52.58,Medium
90.33,17.94,42.78,6.67,33.49,High
19.04,6.84,42.78,7.18,34.51,Medium
139.04,46.6,52.76,5.53,31.19,High
42.45,19.59,12.35,6.86,34.43,Medium
97.32,12.76,24.82,8.55,81.8,Medium
134.14,0.0,36.76,6.89,41.51,Medium
67.8,56.25,3.86,6.47,86.59,Medium
57.68,62.89,30.88,5.64,24.31,Medium
84.3,0.0,26.49,4.09,89.97,Medium
66.92,52.02,33.84,5.96,23.4,Medium
47.89,32.8,23.96,6.97,75.14,Medium
67.13,40.14,30.38,7.89,43.17,Medium
22.19,42.9,58.32,7.17,45.52,High
90.0,16.37,54.13,6.85,34.22,High
52.64,30.83,24.93,6.88,56.81,Medium
125.29,0.0,40.18,7.06,59.85,High
104.31,48.24,16.27,6.81,60.0,High
69.4,0.0,24.55,6.08,45.06,Medium
77.35,49.67,24.89,4.87,62.34,Medium
52.46,36.74,20.38,6.79,54.32,Medium
93.73,15.48,37.26,6.93,72.13,Medium
71.33,35.49,38.53,5.49,44.3,Medium
75.71,22.3,18.17,4.8,13.38,Medium
15.3,29.76,32.19,6.8,36.67,Medium
94.36,62.65,0.0,5.85,50.86,Medium
2.43,23.76,13.8,6.81,48.16,Medium
0.0,0.0,34.67,4.97,65.08,Low
33.7,7.54,42.91,5.55,68.03,Medium
86.71,0.0,25.74,6.03,53.8,Medium
71.22,29.45,0.0,6.29,70.91,Medium
72.09,24.2,21.63,6.91,23.41,Medium
0.0,0.0,28.96,7.18,33.87,Medium
71.68,0.0,22.47,6.37,39.93,Medium
10.33,22.9,33.57,5.66,75.54,Medium
109.06,8.89,22.65,5.58,33.85,Medium
52.22,51.43,17.96,5.94,44.13,Medium
97.29,8.29,13.75,7.72,34.56,Medium
34.98,42.59,8.32,6.48,27.78,Medium
8.7,45.81,49.01,6.69,54.23,High
70.24,49.18,48.66,7.38,57.36,High
100.77,52.94,0.0,7.33,39.99,Medium
61.88,28.57,40.11,6.85,22.09,Medium
63.36,25.24,21.14,4.93,32.61,Medium
41.35,25.41,7.2,7.04,48.7,Medium
65.6,41.94,24.31,6.41,53.79,High
19.2,13.89,1.99,7.31,36.37,Low
57.97,59.75,9.73,5.23,55.97,Medium
92.94,26.37,58.98,7.74,57.81,High
39.69,29.95,6.25,6.12,78.92,Medium
104.85,26.99,52.48,4.24,34.66,Medium
73.81,16.92,23.41,5.32,16.33,Medium
41.07,21.85,40.08,7.53,44.78,Medium
37.83,47.56,41.04,7.44,51.24,High
13.03,25.63,36.71,7.05,48.85,Medium
71.12,53.6,25.9,6.44,74.75,Medium
40.69,45.13,36.42,7.66,76.52,Medium
104.67,0.0,28.54,5.68,51.98,Medium
72.1,16.51,27.04,7.47,74.16,Medium
47.9,3.34,0.0,6.27,95.0,Medium
48.21,33.51,41.6,7.54,54.37,Medium
51.21,48.96,0.0,6.1,58.49,Medium
61.59,68.67,44.61,5.4,16.81,Medium
79.75,20.44,61.48,7.16,31.96,Medium
49.48,19.59,0.0,5.74,32.14,Medium
82.68,33.64,43.72,7.2,34.3,High
58.87,64.5,50.14,6.49,31.5,High
46.59,60.62,0.0,7.44,53.19,Medium
51.77,0.0,38.48,6.84,26.69,Medium
61.85,47.74,41.73,5.62,72.17,Medium
62.92,6.3,29.72,7.23,65.45,Medium
64.31,44.77,37.97,5.37,43.58,Medium
59.97,0.0,36.07,5.15,38.28,Low
40.64,13.73,0.0,7.18,62.69,Medium
14.87,35.14,6.26,3.5,47.21,Low
21.02,16.71,41.48,7.04,12.2,Medium
79.9,43.93,44.39,7.21,86.28,High
98.24,1.3,34.44,6.04,7.13,Medium
86.19,25.3,51.96,5.29,16.91,Medium
51.76,19.02,53.18,8.08,66.06,Medium
30.1,0.88,0.0,4.86,55.43,Low
46.18,34.79,69.11,8.64,48.51,Medium
27.74,20.76,26.92,7.9,55.9,Medium
44.12,32.19,39.15,7.58,51.66,Medium
81.36,24.68,48.65,5.94,5.0,Medium
64.12,7.5,24.69,7.69,24.82,Medium
64.94,42.91,27.6,6.34,55.12,High
43.46,22.11,49.09,6.77,38.71,Medium
23.58,75.69,36.13,6.26,25.83,Medium
8.03,18.72,58.1,8.41,42.49,Medium
64.08,44.88,46.37,5.99,77.56,Medium
47.25,49.05,51.46,5.95,24.56,Medium
44.73,55.96,23.43,5.66,80.2,Medium
63.19,54.23,39.9,6.38,57.58,High
85.94,39.28,17.27,6.95,70.99,Medium
110.29,49.72,30.74,6.59,49.85,High
85.25,23.74,58.02,7.64,48.85,High
59.55,0.0,38.43,5.65,15.21,Medium
26.59,14.47,23.8,6.5,76.13,Medium
2.54,10.53,37.76,6.23,48.14,Medium
31.62,47.33,46.38,8.27,62.76,Medium
21.0,21.44,55.37,4.64,67.28,Medium
13.84,49.16,43.43,6.1,67.61,High
57.86,18.43,18.37,7.36,64.47,Medium
101.15,42.64,28.94,5.83,80.66,Medium
83.07,54.42,14.85,5.39,71.92,Medium
30.77,61.13,50.69,7.23,58.34,High
54.11,6.97,25.1,5.88,69.04,Medium
88.07,42.97,50.03,6.28,57.29,High
59.16,26.06,13.27,7.01,27.16,Medium
93.62,48.55,16.6,7.42,78.12,High
14.86,31.76,34.45,7.07,5.5,Medium
40.46,60.19,15.56,5.46,57.14,Medium
31.43,40.22,27.86,7.45,44.5,Medium
38.49,7.2,27.48,7.82,61.57,Medium
84.76,2.6,46.12,8.87,17.43,Medium
58.5,54.07,69.32,6.56,49.61,High
33.16,0.0,22.84,5.91,45.29,Medium
44.85,34.52,13.66,8.98,48.02,Medium
83.23,17.44,31.88,7.18,53.76,High
44.34,7.71,51.64,6.84,53.28,Medium
54.17,50.22,49.79,7.64,29.04,Medium
68.47,26.11,15.5,6.26,75.75,Medium
58.69,20.81,52.07,5.22,13.65,Medium
96.19,42.82,31.1,6.48,32.99,High
102.84,45.58,29.82,6.14,31.63,High
31.43,31.36,27.01,6.56,54.73,Medium
49.25,47.73,11.5,6.12,67.63,Medium
70.73,23.3,0.0,6.07,56.22,Medium
47.55,34.95,40.7,6.82,23.29,Medium
41.97,45.54,24.04,7.28,35.29,Medium
82.22,52.47,0.0,7.15,75.73,Medium
49.48,0.0,26.29,6.45,53.76,Medium
82.56,24.14,0.0,6.95,40.12,Medium
67.01,44.71,31.37,7.62,59.98,Medium
71.0,52.79,56.55,7.18,22.85,High
45.29,25.07,31.29,5.99,53.77,Medium
31.77,48.2,11.65,9.0,85.02,Low
33.25,39.38,27.41,5.6,29.61,Medium
20.47,18.98,48.7,7.45,44.04,Medium
67.7,26.42,33.05,5.48,58.63,Medium
88.06,42.65,46.37,5.82,57.11,High
90.23,44.67,52.4,6.55,38.19,High
71.38,68.34,35.18,7.39,34.24,Medium
69.1,31.92,36.54,6.03,20.52,Medium
33.21,0.0,30.14,6.78,66.4,Medium
68.67,57.52,27.41,7.56,43.96,Medium
32.39,25.9,32.66,4.67,43.11,Medium
20.81,20.29,31.48,7.11,67.99,Medium
71.65,58.91,46.96,7.51,26.03,Medium
65.49,45.94,32.01,5.29,67.56,Medium
75.97,45.71,41.16,6.4,22.57,High
79.78,46.32,54.79,7.05,89.02,High
42.15,1.16,11.25,7.58,68.22,Medium
60.54,36.65,33.48,7.93,76.83,Medium
97.96,5.03,24.15,8.87,77.47,Medium
77.47,30.36,20.52,6.04,94.05,Medium
118.59,0.0,35.38,6.89,40.99,Medium
89.6,12.57,0.0,5.7,77.15,Medium
90.03,21.96,49.01,5.58,40.82,High
62.02,32.61,57.17,5.82,26.72,Medium
35.94,16.49,0.0,6.2,25.01,Medium
66.43,0.0,19.6,5.82,61.89,Medium
38.44,55.72,56.27,7.36,19.58,Medium
48.52,3.31,7.13,5.81,87.18,Low
48.77,49.43,28.9,7.85,48.79,Medium
80.85,6.23,67.04,6.66,37.42,Medium
52.75,21.39,49.02,6.73,49.88,High
41.75,0.0,25.0,7.78,70.09,Medium
102.13,62.98,1.85,5.85,53.7,Medium
69.74,46.27,23.81,7.69,40.57,Medium
99.1,24.91,56.73,5.95,13.87,Medium
32.51,14.91,23.6,5.45,33.04,Low
47.67,8.16,67.83,6.72,24.44,Medium
66.19,17.26,23.67,5.16,57.13,Medium
54.71,57.61,31.82,5.61,51.37,Medium
58.86,17.55,9.64,7.31,31.25,Medium
77.76,60.9,5.77,6.84,58.23,Medium
52.55,33.26,32.15,8.53,56.03,Medium
76.03,9.13,5.46,7.48,23.49,Medium
94.34,53.79,28.12,7.39,65.11,High
60.75,53.48,38.87,5.7,85.32,Medium
90.2,2.77,32.95,5.04,79.72,Medium
29.82,23.04,34.25,5.13,47.15,Medium
90.94,33.5,11.21,6.22,71.0,Medium
58.42,44.71,4.17,5.43,70.08,Medium
59.91,23.37,39.7,5.11,47.66,Medium
90.31,25.38,27.79,7.07,53.32,High
77.96,21.34,5.83,6.58,76.62,Medium
49.21,66.72,13.87,8.47,39.67,Medium
76.35,59.35,36.18,8.35,54.57,Medium
96.56,48.9,0.0,7.0,17.64,Medium
49.5,16.07,18.71,5.38,41.38,Medium
60.6,49.84,45.14,6.92,71.22,High
38.22,43.83,30.26,7.68,65.26,Medium
70.57,42.97,28.87,6.35,68.83,High
42.57,24.85,0.68,5.89,59.41,Medium
58.85,31.44,36.3,5.82,51.88,Medium
71.93,0.72,44.1,4.32,31.42,Medium
29.05,7.77,25.93,6.39,50.38,Medium
66.17,31.41,16.59,6.08,74.11,Medium
48.07,18.48,36.97,7.15,9.02,Medium
66.57,62.26,40.05,7.4,42.84,High
69.48,9.57,26.21,5.07,33.86,Low
103.43,50.58,36.71,8.04,40.9,Medium
59.59,17.14,35.21,8.23,67.84,Medium
62.64,10.08,29.67,7.85,64.31,Medium
81.82,34.48,46.87,6.75,53.91,High
0.0,53.54,31.81,6.45,56.75,Medium
94.89,44.83,0.0,6.75,59.9,High
83.75,52.87,0.0,7.15,29.13,Medium
8.77,21.54,21.79,6.29,26.9,Medium
45.19,40.97,20.33,7.15,95.0,Medium
43.08,51.88,38.27,7.49,68.4,High
24.91,54.16,33.21,6.95,18.77,Medium
59.8,38.35,28.97,7.45,30.01,Medium
56.47,7.75,8.11,5.63,42.86,Medium
54.72,64.27,26.14,6.35,56.22,High
72.68,8.88,10.7,7.07,70.86,Medium
87.32,50.59,19.02,4.95,57.95,Medium
55.92,41.7,0.0,6.51,45.64,Medium
42.98,30.49,21.34,6.98,21.25,Medium
148.14,39.77,47.85,6.15,64.39,High
52.2,22.47,35.29,7.5,5.0,Medium
58.65,57.77,12.49,6.93,27.11,Medium
88.63,16.45,51.24,6.53,52.09,High
60.64,41.06,0.0,7.51,19.71,Medium
46.14,26.58,31.85,6.36,30.92,Medium
89.06,0.0,46.93,4.86,44.81,Medium
108.46,0.0,19.61,5.81,51.37,Medium
86.25,43.44,0.61,6.5,69.94,High
67.31,44.72,22.03,7.97,39.06,Medium
47.69,41.71,23.79,7.27,45.3,High
12.92,39.49,1.97,6.19,34.23,Medium
45.47,34.82,46.48,6.08,49.3,High
73.48,27.31,15.22,6.02,58.77,Medium
87.71,16.52,0.98,5.32,88.16,Medium
29.25,0.0,40.66,7.43,53.91,Medium
31.51,63.26,14.65,6.02,45.12,Medium
40.46,6.46,16.89,6.14,66.68,Medium
93.51,11.46,26.07,8.03,47.26,Medium
24.92,1.1,0.0,6.09,92.98,Low
113.08,20.53,45.15,5.99,51.61,High
41.07,13.47,29.74,5.99,32.25,Medium
136.43,24.55,22.74,6.71,19.08,Medium
70.53,27.31,18.33,7.77,34.45,Medium
98.68,45.6,35.97,7.03,37.73,High
71.26,0.0,29.83,5.75,31.2,Medium
53.23,15.98,42.38,6.8,30.51,Medium
29.27,1.49,58.38,6.2,58.95,Medium
75.22,15.91,19.69,5.91,55.2,Medium
60.56,69.11,35.47,6.37,52.86,High
143.98,45.14,17.99,6.56,58.63,High
29.39,50.28,11.03,7.92,36.24,Medium
68.48,46.76,59.37,6.16,31.0,High
66.13,33.11,20.95,5.54,17.44,Medium
29.54,10.7,33.68,6.33,68.04,Medium
66.07,20.5,40.53,7.17,68.66,High
14.8,44.94,23.05,5.78,66.8,Medium
20.86,14.88,46.16,5.95,17.61,Medium
44.01,61.58,34.67,6.75,89.58,Medium
61.91,11.87,55.66,7.09,58.8,Medium
93.15,26.85,0.0,7.5,43.17,Medium
53.17,43.74,47.05,5.94,71.96,Medium
36.18,55.68,36.8,8.37,44.03,Medium
89.78,27.92,11.28,7.04,31.92,Medium
33.0,51.21,48.24,6.88,89.86,Medium
54.78,24.47,29.39,5.56,50.41,Medium
58.38,0.0,26.94,6.92,39.8,Medium
49.46,32.92,26.58,6.03,70.01,Medium
87.06,11.73,8.21,6.86,56.83,Medium
0.0,30.36,0.0,7.36,60.22,Medium
47.59,5.71,23.37,5.86,76.07,Medium
64.82,2.15,39.98,5.3,67.39,Medium
117.43,25.56,49.5,6.99,58.01,High
89.48,15.99,5.47,7.16,77.03,Medium
69.47,10.07,31.03,6.1,39.31,Medium
33.38,54.49,0.0,5.27,43.22,Medium
63.67,44.44,20.96,5.88,56.38,Medium
61.69,0.0,3.71,7.61,55.75,Medium
102.31,65.9,26.25,7.04,64.6,High
14.97,0.0,41.79,6.44,32.05,Medium
71.16,28.12,41.76,6.7,29.21,Medium
32.84,13.4,26.22,5.68,61.7,Medium
34.02,33.57,0.0,5.75,28.15,Low
59.03,0.0,22.85,6.54,72.69,Medium
58.12,0.0,39.9,6.91,37.66,Medium
56.01,63.84,29.81,6.55,39.65,Medium
57.0,20.84,1.06,5.87,25.56,Medium
46.52,44.53,6.25,5.96,46.07,Medium
102.18,0.0,77.95,5.2,44.97,Medium
0.0,40.26,22.69,6.07,78.05,Medium
55.95,55.31,39.65,5.89,34.35,Medium
44.85,58.48,21.56,7.7,75.08,Medium
38.23,25.39,48.05,7.76,38.08,Medium
6.91,0.0,0.0,7.04,75.64,Low
60.36,60.98,7.09,7.15,60.56,Medium
55.3,64.31,60.8,6.29,47.92,High
14.45,8.84,15.33,7.21,55.09,Medium
89.51,34.72,15.05,5.71,49.88,Medium
40.55,1.47,59.02,7.03,49.8,Medium
145.24,30.14,30.93,6.02,27.85,Medium
30.49,46.49,16.7,6.92,35.99,Medium
38.15,34.24,58.59,7.0,39.83,Medium
71.14,35.04,26.16,8.31,71.73,Medium
102.09,42.64,34.14,7.25,45.05,High
116.09,33.09,30.62,5.56,46.96,Medium
50.03,32.88,26.53,7.41,50.57,Medium
66.07,37.31,21.48,4.76,60.24,Medium
86.28,71.18,28.36,5.34,41.53,Medium
57.13,4.23,27.16,6.08,79.9,Medium
43.62,65.17,29.29,7.2,71.73,Medium
85.42,17.8,17.69,7.37,21.37,Medium
92.02,45.74,41.23,6.27,34.23,High
74.42,26.47,6.3,7.97,26.67,Medium
57.09,30.03,17.35,6.17,39.53,Medium
85.33,49.4,68.31,8.95,95.0,Medium
6.6,26.78,27.73,7.78,49.83,Medium
39.37,54.37,21.74,6.73,62.63,Medium
108.34,16.39,25.21,5.6,11.02,Medium
69.65,23.31,53.35,5.36,41.27,Medium
69.9,39.67,30.18,6.34,72.71,Medium
16.15,34.73,58.42,6.91,43.07,Medium
5.18,33.11,13.91,6.14,61.66,Medium
66.58,11.46,14.1,6.27,62.36,Medium
73.12,68.79,9.6,7.02,26.69,Medium
82.77,21.89,49.31,5.58,73.4,Medium
73.51,26.77,33.02,7.36,75.39,Medium
48.54,53.57,44.78,6.04,81.26,High
68.43,17.42,37.88,5.88,58.49,Medium
88.49,49.27,44.68,5.62,46.33,High
67.41,54.72,33.38,6.6,90.26,Medium
61.33,4.67,38.48,7.56,34.15,Medium
77.13,67.85,54.47,6.43,51.33,High
23.21,4.16,55.24,5.52,70.02,Medium
57.37,26.07,51.5,7.61,59.56,Medium
11.66,20.22,14.06,7.28,43.74,Medium
58.49,61.08,22.11,5.12,38.67,Medium
0.2,50.59,21.5,4.56,39.35,Medium
66.44,0.0,48.2,7.93,54.75,Medium
66.12,29.32,31.27,8.23,5.0,Medium
103.6,41.7,32.11,6.63,54.94,High
95.84,56.55,0.0,8.64,19.97,Medium
47.43,43.31,46.49,7.8,31.96,Medium
28.79,41.18,52.18,8.36,42.2,Medium
109.02,30.12,58.51,6.72,62.59,High
16.83,29.78,53.43,7.73,53.03,Medium
42.92,29.1,10.59,4.72,38.78,Low
68.29,19.06,29.72,6.74,56.15,Medium
59.48,27.56,15.13,7.55,79.36,Medium
0.0,0.0,52.88,6.97,35.79,Medium
67.44,23.67,35.65,8.39,41.86,Medium
43.82,30.24,25.03,4.7,61.86,Medium
95.81,12.06,31.33,7.43,64.62,Medium
85.55,3.92,26.79,7.68,6.48,Medium
